Authors,Title,Year,Sourcetitle,Cited,Link,Abstract,aKeywords,iKeywords,References,Document Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bliss T.V.P., Collingridge G.L.",A synaptic model of memory: Long-term potentiation in the hippocampus,1993,Nature,6282,http://www.scopus.com/inward/record.url?eid=2-s2.0-0027476024&partnerID=40&md5=d8abfff8a956d5586e52e0a92702511a,"Long-term potentiation of synaptic transmission in the hippocampus is the ptimary experimental model for investigating the synaptic basis of learning and memory in vertebrates. The best understood form of long-term potentiation is induced by the activation of the N-methyl-D-aspartate receptor complex. This subtype of glutamate receptor endows long-term potentiation with Herbian chatacteristics, and allows electtical etents at the postsynaptic membrane to be transduced into chemical signals which, in tutn, are thought to activate both pre- and postsynaptic mechanisms to generate a persistent increase in synaptic strength.",,"glutamate receptor; n methyl dextro aspartic acid receptor; hippocampus; long term potentiation; memory; nonhuman; priority journal; review; synaptic transmission; Animal; Calcium; Electrophysiology; Evoked Potentials; Hippocampus; Memory; Models, Neurological; Receptors, N-Methyl-D-Aspartate; Signal Transduction; Synapses; Vertebrata",,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damasio A.R.,[No title available],1994,"Descartes' Error: Emotion, Reason, and the Human Brain",5572,,[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morris R.G.M., Garrud P., Rawlins J.N.P., O'Keefe J.",Place navigation impaired in rats with hippocampal lesions,1982,Nature,3074,http://www.scopus.com/inward/record.url?eid=2-s2.0-0019957779&partnerID=40&md5=2c68ccc6f0bb031a95c313fa94c02317,"Electrophysiological studies have shown that single cells in the hippocampus respond during spatial learning and exploration, some firing only when animals enter specific and restricted areas of a familiar environment. Deficits in spatial learning and memory are found after lesions of the hippocampus and its extrinsic fibre connections following damage to the medial septal nucleus which successfully disrupts the hippocampal theta rhythm, and in senescent rats which also show a correlated reduction in synaptic enhancement on the perforant path input to the hippocampus. We now report, using a novel behavioural procedure requiring search for a hidden goal, that, in addition to a spatial discrimination impairment, total hippocampal lesions also cause a profound and lasting placenavigational impairment that can be dissociated from correlated motor, motivational and reinforcement aspects of the procedure.",,"age; aging; central nervous system; hippocampus; nerve cell membrane potential; nervous system; orientation; rat; theoretical study; Animal; Cerebral Cortex; Female; Hippocampus; Locomotion; Rats; Space Perception; Support, Non-U.S. Gov't",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squire L.R.,"Memory and the hippocampus: A synthesis from findings with rats, monkeys, and humans",1992,Psychological Review,2630,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026847039&partnerID=40&md5=e823f7e59a1fd87eafc97df39ce118a6,"This article considers the role of the hippocampus in memory function. A central thesis is that work with rats, monkeys, and humans - which has sometimes seemed to proceed independently in 3 separate literatures - is now largely in agreement about the function of the hippocampus and related structures. A biological perspective is presented, which proposes multiple memory systems with different functions and distinct anatomical organizations. The hippocampus (together with anatomically related structures) is essential for a specific kind of memory, here termed declarative memory (similar terms include explicit and relational). Declarative memory is contrasted with a heterogeneous collection of nondeclarative (implicit) memory abilities that do not require the hippocampus (skills and habits, simple conditioning, and the phenomenon of priming). The hippocampus is needed temporarily to bind together distributed sites in neocortex that together represent a whole memory.",,"animal; attention; brain cortex; brain mapping; Haplorhini; hippocampus; human; learning; memory; nerve tract; physiology; rat; review; Animal; Attention; Brain Mapping; Cerebral Cortex; Haplorhini; Hippocampus; Human; Learning; Memory; Neural Pathways; Rats; Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bliss T.V.P., Lomo T.",Long lasting potentiation of synaptic transmission in the dentate area of the anaesthetized rabbit following stimulation of the perforant path,1973,Journal of Physiology,2308,http://www.scopus.com/inward/record.url?eid=2-s2.0-0015799240&partnerID=40&md5=b98254ecb78d823a2349cb88ad51126c,"The after effects of repetitive stimulation of the perforant path fibers to the dentate area of the hippocampal formation have been examined with extracellular micro electrodes in rabbits anesthetized with urethane. In fifteen out of eighteen rabbits the population response recorded from granule cells in the dentate area to single perforant path volleys was potentiated for periods ranging from 30 min to 10 hr after one or more conditioning trains at 10-20/sec for 10-15 sec, or 100/sec for 3-4 sec. The population response was analysed in terms of three parameters: the amplitude of the population excitatory post synaptic potential (e.p.s.p.) signalling the depolarization of the granule cells, and the amplitude and latency of the population spike, signalling the discharge of the granule cells. All three parameters were potentiated in 29% of the experiments; in other experiments in which long term changes occurred, potentiation was confined to one or two of the three parameters. A reduction in the latency of the population spike was the commonest sign of potentiation, occurring in 57% of all experiments. The amplitude of the population e.p.s.p. was increased in 43% and of the population spike in 40%, of all experiments. During conditioning at 10-20/sec there was massive potentiation of the population spike ('frequency potentiation'). The spike was suppressed during stimulation at 100/sec. Both frequencies produced long term potentiation. The results suggest that two independent mechanisms are responsible for long lasting potentiation: an increase in the efficiency of synaptic transmission at the perforant path synapses; an increase in the excitability of the granule cell population.",,"dentate nucleus; excitatory postsynaptic potential; granular cell; synaptic transmission; theoretical study; Action Potentials; Anesthesia, Intravenous; Animal; Electric Stimulation; Electrophysiology; Evoked Potentials; Female; Hippocampus; Male; Microelectrodes; Neurons; Rabbits; Synapses; Time Factors",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCOVILLE W.B., MILNER B.",Loss of recent memory after bilateral hippocampal lesions.,1957,"Journal of neurology, neurosurgery, and psychiatry",2241,http://www.scopus.com/inward/record.url?eid=2-s2.0-0010529277&partnerID=40&md5=d1aef32604b6d7b108a2191b431a6783,[No abstract available],,article; memory; temporal lobe; TEMPORAL LOBE/surgery; MEMORY; TEMPORAL LOBE/surgery; Memory; Temporal Lobe,,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebb D.O.,[No title available],1949,The Organization of Behavior: A Neuropsychological Theory,2086,,[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeDoux J.E.,The emotional brain: The mysterious underpinnings of emotional life,1996,The Emotional Brain: The Mysterious Underpinnings of Emotional Life,1693,,[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McClelland J.L., McNaughton B.L., O'Reilly R.C.",Why there are complementary learning systems in the hippocampus and neocortex: Insights from the successes and failures of connectionist models of learning and memory,1995,Psychological Review,1558,http://www.scopus.com/inward/record.url?eid=2-s2.0-0029340352&partnerID=40&md5=bc4a5b7a26e9ee9e9e64da4951966e6b,"Damage to the hippocampal system disrupts recent memory but leaves remote memory intact. The account presented here suggests that memories are first stored via synaptic changes in the hippocampal system, that these changes support reinstatement of recent memories in the neocortex, that neocortical synapses change a little on each reinstatement, and that remote memory is based on accumulated neocortical changes. Models that learn via changes to connections help explain this organization. These models discover the structure in ensembles of items if learning of each item is gradual and interleaved with learning about other items. This suggests that the neocortex learns slowly to discover the structure in ensembles of experiences. The hippocampal system permits rapid learning of new items without disrupting this structure, and reinstatement of new memories interleaves them with others to integrate them into structured neocortical memory systems.",,"artificial neural network; brain cortex; hippocampus; human; learning; memory; pathophysiology; physiology; retrograde amnesia; review; Amnesia, Retrograde; Cerebral Cortex; Hippocampus; Human; Learning; Memory; Neural Networks (Computer); Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Keefe J., Dostrovsky J.",The hippocampus as a spatial map. Preliminary evidence from unit activity in the freely-moving rat,1971,Brain Research,1548,http://www.scopus.com/inward/record.url?eid=2-s2.0-0015145985&partnerID=40&md5=6b73a2ff83a9b15164816ca703bff572,[No abstract available],,"acoustics; animal; animal behavior; arousal; article; association; cognition; electrode; electrophysiology; feeding behavior; grooming; hearing; hippocampus; light; limbic system; locomotion; motor activity; nerve cell; odor; orientation; physiology; rat; sleep; touch; vision; Acoustics; Animal; Arousal; Behavior, Animal; Cognition; Cues; Electrodes, Implanted; Electrophysiology; Feeding Behavior; Grooming; Hearing; Hippocampus; Homing Behavior; Light; Limbic System; Locomotion; Motor Activity; Neurons; Odors; Orientation; Rats; Sleep; Smell; Touch; Vision",,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
